#complex,groundtruth,simplifiedcomplex,simplifiedgroundtruth,z3flag,simtime
((-1*(a&b)+10*(a&~b)+2*a+11*~(a|b)-11*~b)&y)*((-1*(a&b)+10*(a&~b)+2*a+11*~(a|b)-11*~b)|y)+((-1*(a&b)+10*(a&~b)+2*a+11*~(a|b)-11*~b)&~y)*(~(-1*(a&b)+10*(a&~b)+2*a+11*~(a|b)-11*~b)&y),a*y,a*y,a*y,True,0.43216800689697266
((3*(a&b)+6*(a&~b)-5*(a^b)-2*~(a&~b)+2*~(a|b)+7*~(a|~b))&y)*((3*(a&b)+6*(a&~b)-5*(a^b)-2*~(a&~b)+2*~(a|b)+7*~(a|~b))|y)+((3*(a&b)+6*(a&~b)-5*(a^b)-2*~(a&~b)+2*~(a|b)+7*~(a|~b))&~y)*(~(3*(a&b)+6*(a&~b)-5*(a^b)-2*~(a&~b)+2*~(a|b)+7*~(a|~b))&y),a*y,a*y,a*y,True,0.08429288864135742
((3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)&y)*((3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)|y)+((3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)&~y)*(~(3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)&y),a*y,a*y,a*y,True,0.0741114616394043
((6*(a&b)+7*(a&~b)+1*b-6*~(a&~a)+6*~(a|b)+5*~(a|~b))&y)*((6*(a&b)+7*(a&~b)+1*b-6*~(a&~a)+6*~(a|b)+5*~(a|~b))|y)+((6*(a&b)+7*(a&~b)+1*b-6*~(a&~a)+6*~(a|b)+5*~(a|~b))&~y)*(~(6*(a&b)+7*(a&~b)+1*b-6*~(a&~a)+6*~(a|b)+5*~(a|~b))&y),a*y,a*y,a*y,True,0.07496118545532227
((12*(a&b)+19*(a&~b)-11*a-7*~(a&b)+7*~(a|b)+7*~(a|~b))&y)*((12*(a&b)+19*(a&~b)-11*a-7*~(a&b)+7*~(a|b)+7*~(a|~b))|y)+((12*(a&b)+19*(a&~b)-11*a-7*~(a&b)+7*~(a|b)+7*~(a|~b))&~y)*(~(12*(a&b)+19*(a&~b)-11*a-7*~(a&b)+7*~(a|b)+7*~(a|~b))&y),a*y,a*y,a*y,True,0.0764169692993164
((-4*(a&b)-4*(a&~b)+5*(a|~b)-6*~(a|b)-1*~(a|~b)+1*~a)&y)*((-4*(a&b)-4*(a&~b)+5*(a|~b)-6*~(a|b)-1*~(a|~b)+1*~a)|y)+((-4*(a&b)-4*(a&~b)+5*(a|~b)-6*~(a|b)-1*~(a|~b)+1*~a)&~y)*(~(-4*(a&b)-4*(a&~b)+5*(a|~b)-6*~(a|b)-1*~(a|~b)+1*~a)&y),a*y,a*y,a*y,True,0.07629609107971191
((-1*(a&b)+6*(a&~b)+2*(a|b)-7*~(a&b)+7*~(a|b)+5*~(a|~b))&y)*((-1*(a&b)+6*(a&~b)+2*(a|b)-7*~(a&b)+7*~(a|b)+5*~(a|~b))|y)+((-1*(a&b)+6*(a&~b)+2*(a|b)-7*~(a&b)+7*~(a|b)+5*~(a|~b))&~y)*(~(-1*(a&b)+6*(a&~b)+2*(a|b)-7*~(a&b)+7*~(a|b)+5*~(a|~b))&y),a*y,a*y,a*y,True,0.07310318946838379
((-10*(a&b)-9*(a&~b)-1*(a^b)+11*~(a&~a)-11*~(a|b)-10*~(a|~b))&y)*((-10*(a&b)-9*(a&~b)-1*(a^b)+11*~(a&~a)-11*~(a|b)-10*~(a|~b))|y)+((-10*(a&b)-9*(a&~b)-1*(a^b)+11*~(a&~a)-11*~(a|b)-10*~(a|~b))&~y)*(~(-10*(a&b)-9*(a&~b)-1*(a^b)+11*~(a&~a)-11*~(a|b)-10*~(a|~b))&y),a*y,a*y,a*y,True,0.07558178901672363
((12*(a&b)+1*(a&~b)-11*b+1*~(a|b)+12*~(a|~b)-1*~a)&y)*((12*(a&b)+1*(a&~b)-11*b+1*~(a|b)+12*~(a|~b)-1*~a)|y)+((12*(a&b)+1*(a&~b)-11*b+1*~(a|b)+12*~(a|~b)-1*~a)&~y)*(~(12*(a&b)+1*(a&~b)-11*b+1*~(a|b)+12*~(a|~b)-1*~a)&y),a*y,a*y,a*y,True,0.08316254615783691
((-1*(a&~b)+1*~(a&~b)-3*~(a|b)-1*~(a|~b)+2*~b)&y)*((-1*(a&~b)+1*~(a&~b)-3*~(a|b)-1*~(a|~b)+2*~b)|y)+((-1*(a&~b)+1*~(a&~b)-3*~(a|b)-1*~(a|~b)+2*~b)&~y)*(~(-1*(a&~b)+1*~(a&~b)-3*~(a|b)-1*~(a|~b)+2*~b)&y),a*y,a*y,a*y,True,0.07428574562072754
((-1*(a&b)-2*(a&~b)+3*(a|b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))&y)*((-1*(a&b)-2*(a&~b)+3*(a|b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))|y)+((-1*(a&b)-2*(a&~b)+3*(a|b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))&~y)*(~(-1*(a&b)-2*(a&~b)+3*(a|b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))&y),a*y,a*y,a*y,True,0.07298851013183594
((13*(a&b)+12*(a&~b)-11*(a|b)-1*b+12*~(a|~b))&y)*((13*(a&b)+12*(a&~b)-11*(a|b)-1*b+12*~(a|~b))|y)+((13*(a&b)+12*(a&~b)-11*(a|b)-1*b+12*~(a|~b))&~y)*(~(13*(a&b)+12*(a&~b)-11*(a|b)-1*b+12*~(a|~b))&y),a*y,a*y,a*y,True,0.07822394371032715
((-1*(a&~b)+1*(a^b)+1*(a|~b)-1*~(a|b)-1*~(a|~b))&y)*((-1*(a&~b)+1*(a^b)+1*(a|~b)-1*~(a|b)-1*~(a|~b))|y)+((-1*(a&~b)+1*(a^b)+1*(a|~b)-1*~(a|b)-1*~(a|~b))&~y)*(~(-1*(a&~b)+1*(a^b)+1*(a|~b)-1*~(a|b)-1*~(a|~b))&y),a*y,a*y,a*y,True,0.07479691505432129
((-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)&y)*((-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)|y)+((-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)&~y)*(~(-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)&y),a*y,a*y,a*y,True,0.07258987426757812
((1*(a&b)+2*(a&~b)-6*(a^b)-5*~(a|b)+6*~(a|~b)+5*~b)&y)*((1*(a&b)+2*(a&~b)-6*(a^b)-5*~(a|b)+6*~(a|~b)+5*~b)|y)+((1*(a&b)+2*(a&~b)-6*(a^b)-5*~(a|b)+6*~(a|~b)+5*~b)&~y)*(~(1*(a&b)+2*(a&~b)-6*(a^b)-5*~(a|b)+6*~(a|~b)+5*~b)&y),a*y,a*y,a*y,True,0.07587766647338867
((8*(a&b)+7*(a&~b)-6*(a|b)-1*~(a^b)+1*~(a|b)+6*~(a|~b))&y)*((8*(a&b)+7*(a&~b)-6*(a|b)-1*~(a^b)+1*~(a|b)+6*~(a|~b))|y)+((8*(a&b)+7*(a&~b)-6*(a|b)-1*~(a^b)+1*~(a|b)+6*~(a|~b))&~y)*(~(8*(a&b)+7*(a&~b)-6*(a|b)-1*~(a^b)+1*~(a|b)+6*~(a|~b))&y),a*y,a*y,a*y,True,0.07633805274963379
((7*(a&b)+7*(a&~b)-6*a+1*~(a|b)+1*~(a|~b)-1*~a)&y)*((7*(a&b)+7*(a&~b)-6*a+1*~(a|b)+1*~(a|~b)-1*~a)|y)+((7*(a&b)+7*(a&~b)-6*a+1*~(a|b)+1*~(a|~b)-1*~a)&~y)*(~(7*(a&b)+7*(a&~b)-6*a+1*~(a|b)+1*~(a|~b)-1*~a)&y),a*y,a*y,a*y,True,0.08038806915283203
((2*(a&b)+8*(a&~b)-7*(a^b)-1*~(a&~b)+1*~(a|b)+8*~(a|~b))&y)*((2*(a&b)+8*(a&~b)-7*(a^b)-1*~(a&~b)+1*~(a|b)+8*~(a|~b))|y)+((2*(a&b)+8*(a&~b)-7*(a^b)-1*~(a&~b)+1*~(a|b)+8*~(a|~b))&~y)*(~(2*(a&b)+8*(a&~b)-7*(a^b)-1*~(a&~b)+1*~(a|b)+8*~(a|~b))&y),a*y,a*y,a*y,True,0.08213543891906738
((-5*(a&b)+1*(a&~b)+1*b+5*~(a^b)-5*~(a|b)-1*~(a|~b))&y)*((-5*(a&b)+1*(a&~b)+1*b+5*~(a^b)-5*~(a|b)-1*~(a|~b))|y)+((-5*(a&b)+1*(a&~b)+1*b+5*~(a^b)-5*~(a|b)-1*~(a|~b))&~y)*(~(-5*(a&b)+1*(a&~b)+1*b+5*~(a^b)-5*~(a|b)-1*~(a|~b))&y),a*y,a*y,a*y,True,0.08412599563598633
((1*(a&b)+6*(a&~b)+8*~(a|b)+3*~(a|~b)-3*~a-5*~b)&y)*((1*(a&b)+6*(a&~b)+8*~(a|b)+3*~(a|~b)-3*~a-5*~b)|y)+((1*(a&b)+6*(a&~b)+8*~(a|b)+3*~(a|~b)-3*~a-5*~b)&~y)*(~(1*(a&b)+6*(a&~b)+8*~(a|b)+3*~(a|~b)-3*~a-5*~b)&y),a*y,a*y,a*y,True,0.09051895141601562
((2*(a&b)+5*(a&~b)-1*(a|~b)-3*~(a&b)+4*~(a|b)+3*~(a|~b))&y)*((2*(a&b)+5*(a&~b)-1*(a|~b)-3*~(a&b)+4*~(a|b)+3*~(a|~b))|y)+((2*(a&b)+5*(a&~b)-1*(a|~b)-3*~(a&b)+4*~(a|b)+3*~(a|~b))&~y)*(~(2*(a&b)+5*(a&~b)-1*(a|~b)-3*~(a&b)+4*~(a|b)+3*~(a|~b))&y),a*y,a*y,a*y,True,0.09362149238586426
((4*(a&b)+1*(a&~b)-3*~(a&~b)+1*~(a|b)+1*~(a|~b)+2*~a)&y)*((4*(a&b)+1*(a&~b)-3*~(a&~b)+1*~(a|b)+1*~(a|~b)+2*~a)|y)+((4*(a&b)+1*(a&~b)-3*~(a&~b)+1*~(a|b)+1*~(a|~b)+2*~a)&~y)*(~(4*(a&b)+1*(a&~b)-3*~(a&~b)+1*~(a|b)+1*~(a|~b)+2*~a)&y),a*y,a*y,a*y,True,0.13448476791381836
((1*(a&b)+12*(a&~b)+18*~(a|b)+7*~(a|~b)-7*~a-11*~b)&y)*((1*(a&b)+12*(a&~b)+18*~(a|b)+7*~(a|~b)-7*~a-11*~b)|y)+((1*(a&b)+12*(a&~b)+18*~(a|b)+7*~(a|~b)-7*~a-11*~b)&~y)*(~(1*(a&b)+12*(a&~b)+18*~(a|b)+7*~(a|~b)-7*~a-11*~b)&y),a*y,a*y,a*y,True,0.07989716529846191
((1*(a&b)+7*(a&~b)-11*~(a&b)+6*~(a|b)+11*~(a|~b)+5*~b)&y)*((1*(a&b)+7*(a&~b)-11*~(a&b)+6*~(a|b)+11*~(a|~b)+5*~b)|y)+((1*(a&b)+7*(a&~b)-11*~(a&b)+6*~(a|b)+11*~(a|~b)+5*~b)&~y)*(~(1*(a&b)+7*(a&~b)-11*~(a&b)+6*~(a|b)+11*~(a|~b)+5*~b)&y),a*y,a*y,a*y,True,0.0772097110748291
((-11*(a&~b)+1*(a|b)-11*~(a|b)-1*~(a|~b)+11*~b)&y)*((-11*(a&~b)+1*(a|b)-11*~(a|b)-1*~(a|~b)+11*~b)|y)+((-11*(a&~b)+1*(a|b)-11*~(a|b)-1*~(a|~b)+11*~b)&~y)*(~(-11*(a&~b)+1*(a|b)-11*~(a|b)-1*~(a|~b)+11*~b)&y),a*y,a*y,a*y,True,0.07607841491699219
((4*(a&b)+3*(a&~b)-3*(a|~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b))&y)*((4*(a&b)+3*(a&~b)-3*(a|~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b))|y)+((4*(a&b)+3*(a&~b)-3*(a|~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b))&~y)*(~(4*(a&b)+3*(a&~b)-3*(a|~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b))&y),a*y,a*y,a*y,True,0.09055185317993164
((4*(a&b)+4*(a&~b)-3*a-7*~(a|b)-7*~(a|~b)+7*~a)&y)*((4*(a&b)+4*(a&~b)-3*a-7*~(a|b)-7*~(a|~b)+7*~a)|y)+((4*(a&b)+4*(a&~b)-3*a-7*~(a|b)-7*~(a|~b)+7*~a)&~y)*(~(4*(a&b)+4*(a&~b)-3*a-7*~(a|b)-7*~(a|~b)+7*~a)&y),a*y,a*y,a*y,True,0.07603240013122559
((6*(a&b)-1*(a&~b)+2*~(a&b)-5*~(a&~b)+3*~(a|b)+3*~(a|~b))&y)*((6*(a&b)-1*(a&~b)+2*~(a&b)-5*~(a&~b)+3*~(a|b)+3*~(a|~b))|y)+((6*(a&b)-1*(a&~b)+2*~(a&b)-5*~(a&~b)+3*~(a|b)+3*~(a|~b))&~y)*(~(6*(a&b)-1*(a&~b)+2*~(a&b)-5*~(a&~b)+3*~(a|b)+3*~(a|~b))&y),a*y,a*y,a*y,True,0.07475495338439941
((1*(a&b)+1*(a^b)-1*~(a|b)-2*~(a|~b)+1*~a)&y)*((1*(a&b)+1*(a^b)-1*~(a|b)-2*~(a|~b)+1*~a)|y)+((1*(a&b)+1*(a^b)-1*~(a|b)-2*~(a|~b)+1*~a)&~y)*(~(1*(a&b)+1*(a^b)-1*~(a|b)-2*~(a|~b)+1*~a)&y),a*y,a*y,a*y,True,0.07573676109313965
((3*(a&b)+3*(a&~b)-2*(a|b)+1*~(a|b)+3*~(a|~b)-1*~a)&y)*((3*(a&b)+3*(a&~b)-2*(a|b)+1*~(a|b)+3*~(a|~b)-1*~a)|y)+((3*(a&b)+3*(a&~b)-2*(a|b)+1*~(a|b)+3*~(a|~b)-1*~a)&~y)*(~(3*(a&b)+3*(a&~b)-2*(a|b)+1*~(a|b)+3*~(a|~b)-1*~a)&y),a*y,a*y,a*y,True,0.08996033668518066
((-6*(a&b)-4*(a&~b)+5*a+2*~(a^b)-2*~(a|b))&y)*((-6*(a&b)-4*(a&~b)+5*a+2*~(a^b)-2*~(a|b))|y)+((-6*(a&b)-4*(a&~b)+5*a+2*~(a^b)-2*~(a|b))&~y)*(~(-6*(a&b)-4*(a&~b)+5*a+2*~(a^b)-2*~(a|b))&y),a*y,a*y,a*y,True,0.0757441520690918
((1*(a&b)+2*(a&~b)-1*(a^b)-1*~(a|b)+1*~a)&y)*((1*(a&b)+2*(a&~b)-1*(a^b)-1*~(a|b)+1*~a)|y)+((1*(a&b)+2*(a&~b)-1*(a^b)-1*~(a|b)+1*~a)&~y)*(~(1*(a&b)+2*(a&~b)-1*(a^b)-1*~(a|b)+1*~a)&y),a*y,a*y,a*y,True,0.0767202377319336
((2*(a&b)+1*(a^b)-1*~(a^b)+1*~(a|b)-1*~(a|~b))&y)*((2*(a&b)+1*(a^b)-1*~(a^b)+1*~(a|b)-1*~(a|~b))|y)+((2*(a&b)+1*(a^b)-1*~(a^b)+1*~(a|b)-1*~(a|~b))&~y)*(~(2*(a&b)+1*(a^b)-1*~(a^b)+1*~(a|b)-1*~(a|~b))&y),a*y,a*y,a*y,True,0.08005690574645996
((6*(a&b)+13*(a&~b)-5*~(a&~a)+12*~(a|b)+5*~(a|~b)-7*~b)&y)*((6*(a&b)+13*(a&~b)-5*~(a&~a)+12*~(a|b)+5*~(a|~b)-7*~b)|y)+((6*(a&b)+13*(a&~b)-5*~(a&~a)+12*~(a|b)+5*~(a|~b)-7*~b)&~y)*(~(6*(a&b)+13*(a&~b)-5*~(a&~a)+12*~(a|b)+5*~(a|~b)-7*~b)&y),a*y,a*y,a*y,True,0.07466006278991699
((-4*(a&b)+3*(a&~b)+5*b-2*~(a&b)+2*~(a|b)-3*~(a|~b))&y)*((-4*(a&b)+3*(a&~b)+5*b-2*~(a&b)+2*~(a|b)-3*~(a|~b))|y)+((-4*(a&b)+3*(a&~b)+5*b-2*~(a&b)+2*~(a|b)-3*~(a|~b))&~y)*(~(-4*(a&b)+3*(a&~b)+5*b-2*~(a&b)+2*~(a|b)-3*~(a|~b))&y),a*y,a*y,a*y,True,0.07545781135559082
